name,fide,country,followers,joined,last_online,current_rapid_rating,highest_rapid_rating,highest_rapid_date,rapid_win,rapid_draw,rapid_loss,current_blitz_rating,highest_blitz_rating,highest_blitz_date,blitz_win,blitz_draw,blitz_loss,current_bullet_rating,highest_bullet_rating,highest_bullet_date,bullet_win,bullet_draw,bullet_loss,highest_tactics_rating,highest_tactics_date,highest_puzzle_rush_score,is_streamer,status,league
VojtÄ›ch PlÃ¡t,2950,Czech Republic,360,2017,2023,2383,2672,2020,12,5,6,2823,2914,2020,976,280,847,2661,2750,2021,32,8,47,3251,2021,49,FALSE,premium,Bronze
Fabiano Caruana,2835,United States,14445,2013,2023,2794,3045,2019,122,103,46,3125,3136,2023,1012,194,322,3030,3113,2021,713,65,203,3519,2023,64,FALSE,premium,Crystal
Iuri Shkuro,2828,Ukraine,388,2014,2023,2492,2566,2021,179,4,9,2906,2906,2023,977,219,505,2798,2798,2023,390,36,192,2885,2023,60,FALSE,premium,Silver
Hikaru Nakamura,2814,United States,1163963,2014,2023,2781,2927,2022,156,157,39,3232,3332,2020,24782,3307,4284,3326,3570,2020,10920,659,1536,3427,2022,123,TRUE,premium,Legend
Alireza Firouzja,2785,France,18750,2018,2023,2715,2837,2023,31,20,18,3100,3233,2020,6266,1467,3923,3264,3521,2020,11513,1326,7504,3118,2019,73,FALSE,premium,Bronze
Alexander Grischuk,2780,Russia,6864,2016,2023,2679,2837,2020,94,111,61,3029,3146,2020,953,427,487,3082,3310,2020,677,216,470,1217,2023,63,FALSE,premium,Champion
Maxime Vachier-Lagrave,2780,France,10401,2014,2023,2754,2863,2021,41,27,18,3127,3143,2023,1415,373,508,3011,3224,2020,999,148,477,3721,2023,86,TRUE,premium,Crystal
Ian Nepomniachtchi,2779,Russia,10040,2016,2023,2728,2908,2020,75,60,29,3084,3204,2020,2947,730,1650,2977,3168,2020,223,44,170,3605,2023,74,TRUE,premium,Crystal
Anish Giri,2776,Netherlands,8594,2015,2023,2686,2852,2020,74,77,35,3087,3115,2022,318,140,138,3224,3296,2022,141,53,75,3408,2020,53,FALSE,premium,Crystal
Harikrishna Pentala,2768,India,1287,2011,2023,2642,2869,2021,20,24,14,2978,3055,2022,529,194,523,3020,3020,2020,618,114,569,3809,2023,69,FALSE,premium,Bronze
Teimour Radjabov,2765,Azerbaijan,2013,2014,2023,2671,2848,2021,18,24,9,3020,3089,2022,113,11,22,3040,3062,2020,124,16,48,3335,2023,29,FALSE,premium,Wood
Leinier Dominguez Perez,2751,United States,1209,2014,2023,2648,2880,2021,43,30,22,2932,3053,2020,1164,352,665,2940,3098,2022,515,79,322,3617,2018,81,TRUE,premium,Silver
Alexander Zubov,2740,Ukraine,2166,2015,2023,2726,2726,2020,10,1,1,3046,3068,2021,1991,280,746,3109,3163,2023,2866,191,928,2815,2023,71,TRUE,premium,Silver
Radoslaw Wojtaszek,2733,Poland,303,2015,2023,2575,2749,2020,12,9,4,2825,2926,2020,289,73,119,2842,2842,2021,38,7,21,3499,2018,51,FALSE,premium,Stone
Jan-Krzysztof Duda,2731,Poland,6759,2018,2023,2755,2997,2020,31,8,11,3003,3143,2020,1868,362,1006,3035,3248,2020,3551,364,2439,3956,2021,54,FALSE,premium,Silver
Hou Yifan,2730,China,1443,2017,2023,2572,2745,2020,14,8,7,2802,2816,2022,125,42,88,2632,2666,2022,49,27,50,1000,2021,54,FALSE,premium,Stone
Dmitry Andreikin,2729,International,2186,2013,2023,2675,2811,2022,131,117,67,2995,3161,2022,2709,704,897,2994,3310,2020,694,120,411,3128,2018,51,FALSE,premium,Legend
Liem Le,2728,Vietnam,5475,2013,2023,2693,2769,2023,114,76,63,2927,3042,2022,783,236,405,3121,3121,2021,189,34,85,3765,2018,71,FALSE,premium,Crystal
Parham Maghsoodloo,2728,Iran,4022,2017,2023,2645,2714,2022,93,76,81,2984,3191,2019,2693,613,2088,3004,3140,2020,2899,407,3088,2709,2023,93,FALSE,premium,Crystal
Vidit Gujrathi,2726,India,12845,2012,2023,2649,2754,2022,89,64,39,3044,3089,2021,1084,268,501,2921,3120,2021,444,72,242,3012,2015,67,TRUE,premium,Crystal
Baadur Jobava,2722,Georgia,2171,2014,2023,2596,2740,2020,73,5,7,3002,3119,2022,4930,1134,1950,2848,2992,2020,114,33,100,3402,2020,109,FALSE,premium,Champion
Evgeny Shtembuliak,2721,United States,1174,2016,2023,1913,2523,2020,17,8,9,2853,2985,2020,3798,954,3192,2911,2986,2020,878,120,671,3574,2022,46,TRUE,premium,Elite
Yaroslav Zherebukh,2718,United States,1579,2013,2023,2573,2674,2022,36,9,9,2787,2943,2021,1877,337,1032,2481,2799,2020,484,41,275,3303,2019,73,FALSE,premium,Bronze
